name,username,Following,Followers,Posts
Cristiano Ronaldo,cristiano,533,567M,"3,416"
Leo Messi,leomessi,294,447M,980
Kylie 🤍,kyliejenner,96,407M,"7,035"
Selena Gomez,selenagomez,236,400M,"1,869"
Dwayne Johnson,therock,641,384M,"7,055"
Ariana Grande,arianagrande,605,371M,"4,988"
Kim Kardashian,kimkardashian,217,363M,"5,768"
Beyoncé,beyonce,0,312M,"2,054"
Khloé Kardashian,khloekardashian,111,317M,"4,205"
Justin Bieber,justinbieber,740,296M,"7,400"
Kendall,kendalljenner,237,291M,642
Taylor Swift,taylorswift,0,256M,563
Jennifer Lopez,jlo,"1,494",245M,220
Virat Kohli,virat.kohli,269,244M,"1,491"
Barbie,nickiminaj,671,221M,"6,451"
Kourtney Kardashian Barker,kourtneykardash,147,227M,"4,433"
NJ 🇧🇷,neymarjr,"1,747",207M,"5,402"
Miley Cyrus,mileycyrus,317,206M,"1,202"
KATY PERRY,katyperry,754,198M,"2,104"
Zendaya,zendaya,"1,800",174M,"3,536"
Kevin Hart,kevinhart4real,971,173M,"8,480"
Demi Lovato,ddlovato,854,155M,116
Cardi B,iamcardib,"3,566",157M,"1,651"
👑,kingjames,407,150M,"2,415"
badgalriri,badgalriri,"1,665",147M,"4,857"
Real Madrid C.F.,realmadrid,49,135M,"7,792"
Ellen DeGeneres,theellenshow,412,137M,10K
champagnepapi,champagnepapi,"3,002",137M,300
BROWN,chrisbrownofficial,54,138M,"7,488"
FC Barcelona,fcbarcelona,83,120M,10K
BILLIE EILISH,billieeilish,63,114M,743
Gal Gadot,gal_gadot,"1,125",98M,"1,717"
DUA LIPA,dualipa,"1,056",91M,"1,398"
LISA,lalalalisa_m,0,89M,941
Vin Diesel,vindiesel,80,89M,"1,845"
Priyanka,priyankachopra,722,88M,"3,650"
Khaby Lame,khaby00,974,82M,597
snoopdogg,snoopdogg,"6,830",82M,10K
Shakira,shakira,159,81M,"2,047"
Shraddha ✶,shraddhakapoor,851,80M,"1,913"
Gigi Hadid,gigihadid,"1,400",80M,"3,295"
David Beckham,davidbeckham,592,80M,"1,599"
Alia Bhatt 💛,aliaabhatt,501,77M,"1,918"
J,jennierubyjane,0,75M,940
Neha Kakkar (Mrs. Singh),nehakakkar,273,76M,"2,436"
Narendra Modi,narendramodi,0,74M,571
Shawn Mendes,shawnmendes,"1,543",74M,"2,548"
Deepika Padukone,deepikapadukone,183,75M,353
Katrina Kaif,katrinakaif,523,72M,"1,075"
Emma Watson,emmawatson,74,72M,419
Tom Holland,tomholland2013,302,70M,"1,221"
Justin Timberlake,justintimberlake,"1,077",71M,790
JISOO🤍,sooyaaa__,0,69M,927
Raffi Ahmad and Nagita Slavina,raffinagita1717,"5,638",68M,"9,999"
camila,camila_cabello,"1,316",69M,"2,987"
Jacqueline Fernandez,jacquelinef143,"1,264",68M,"2,480"
ROSÉ,roses_are_rosie,0,68M,886
